level0,NumberClusters,Score
0,1,-43.745952775758134
1,2,-35.427182829914905
2,3,-28.3252854259871
3,4,-22.294971974372974
4,5,-19.77728374543326
5,6,-17.807379523568017
6,7,-15.992739819822958
7,8,-14.22555168945845
8,9,-13.128798388662364
9,10,-12.078588602843386
10,11,-11.010606265472088
11,12,-10.266289578671826
12,13,-10.038112059969828
13,14,-9.06973771102692
14,15,-8.577791325199074
15,16,-8.30126930863107
16,17,-7.977475221118387
17,18,-7.651059097406234
18,19,-7.087512438255008
