,Unnamed: 0,id,SCaCodigo,SCaTipo,SCaNombre,SHAPE_Leng,SHAPE_Area,areakm,count_hurtos,count_accidentes,count_alojamiento,count_sitp,count_restaurantes,count_parques,count_sitios,hurtos,accidentes,alojamiento,sitp,restaurantes,parques,sitios,c1_index,cluster
0,0,205109,205109,2,LA MAGDALENA I,0.0303102692392,3.98087796681e-05,0.4949435870621106,149.0,38.0,0.0,9.0,0.0,0.0,5.0,301.0444096961336,76.77642663391327,0.0,18.183890518558407,0.0,0.0,10.102161399199113,3.807261500135705,0
1,1,205227,205227,2,OSORIO IX,0.014853253068500001,1.29361762109e-05,0.16083603564900936,7.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52258479732751,0.0,0.0,0.0,0.0,0.0,0.0,0.16248818236537335,3
2,2,208128,208128,2,TORCA II,0.0262572461949,3.07687526796e-05,0.3826353297774201,8.0,1.0,0.0,0.0,0.0,0.0,0.0,20.907635488478338,2.613454436059792,0.0,0.0,0.0,0.0,0.0,0.09331775746934781,3
3,3,105203,105203,1,OSORIO II,0.0320477273447,3.46783066279e-05,0.4311570330101155,12.0,0.0,0.0,0.0,0.0,0.0,0.0,27.83208687614859,0.0,0.0,0.0,0.0,0.0,0.0,0.10390892978898479,3
4,4,201109,201109,2,INGEMAR I,0.021199095934200003,5.512602608980001e-06,0.06853686859975086,17.0,0.0,0.0,0.0,0.0,0.0,0.0,248.04167957072082,0.0,0.0,0.0,0.0,0.0,0.0,0.9260443021016609,3
5,5,201110,201110,2,INGEMAR ORIENTAL I,0.0367390420416,2.03451189588e-05,0.25294791264398825,34.0,16.0,0.0,0.0,0.0,0.0,3.0,134.4150249931231,63.25412940852852,0.0,0.0,0.0,0.0,11.860149264099098,1.6170345402776527,3
6,6,201317,201317,2,TIBAQUE III,0.0303822925843,2.08786166332e-05,0.2595519748521549,6.0,1.0,0.0,3.0,0.0,0.0,8.0,23.116757263810836,3.8527928773018063,0.0,11.558378631905418,0.0,0.0,30.82234301841445,3.0639664929236234,3
7,7,201408,201408,2,LA PERSEVERANCIA I,0.00643223644822,1.4965989867200002e-06,0.018606266793786592,44.0,0.0,0.0,1.0,0.0,0.0,0.0,2364.7946408407643,0.0,0.0,53.745332746381,0.0,0.0,0.0,13.557007448527703,5
8,8,1340,1340,0,TIHUAQUE,0.0224191781178,1.39984439961e-05,0.1740060131631454,22.0,22.0,0.0,1.0,0.0,0.0,1.0,126.43241230619503,126.43241230619503,0.0,5.746927832099774,0.0,0.0,5.746927832099774,2.0772919503740757,3
9,9,2305,2305,0,LIBERTADOR,0.0213602353323,2.63119107569e-05,0.3271051691393588,226.0,90.0,0.0,3.0,0.0,0.0,3.0,690.9092894943392,275.14086749774566,0.0,9.171362249924856,0.0,0.0,9.171362249924856,5.5696902279664355,3
10,10,4501,4501,0,HIPOTECHO,0.0329440594623,5.55615300778e-05,0.6907719021921143,727.0,361.0,0.0,9.0,1.0,0.0,19.0,1052.4458185008953,522.6037695719714,0.0,13.02890284251452,1.4476558713905023,0.0,27.505461556419544,10.171186645854153,0
11,11,2550,2550,0,DUITAMA,0.00583033444076,1.34172677529e-06,0.016678758207279033,7.0,0.0,0.0,1.0,0.0,0.0,1.0,419.6955140788013,0.0,0.0,59.95650201125733,0.0,0.0,59.95650201125733,10.612030913230743,5
12,12,2533,2533,0,SOTAVENTO,0.022863935791000004,1.66506282686e-05,0.2069857747667989,54.0,64.0,0.0,6.0,0.0,0.0,6.0,260.88749364945124,309.1999924734237,0.0,28.987499294383472,0.0,0.0,28.987499294383472,7.152611563098326,0
13,13,4565,4565,0,TOCAREMA,0.0210142216329,1.48792552772e-05,0.18498336847660568,150.0,121.0,0.0,5.0,0.0,0.0,12.0,810.8837093588231,654.1128588827839,0.0,27.029456978627437,0.0,0.0,64.87069674870585,13.304349080936376,0
14,14,4516,4516,0,BOITA,0.0241875237305,1.9630961004e-05,0.24405480069959395,110.0,47.0,0.0,6.0,0.0,0.0,4.0,450.71844390964696,192.5796987613946,0.0,24.58464239507165,0.0,0.0,16.389761596714433,6.00077872052838,0
15,15,9224,9224,0,NUEVA TIBABUYES,0.0308811026889,3.56972335314e-05,0.4438755885765519,145.0,40.0,0.0,10.0,0.0,0.0,10.0,326.668110911427,90.11534094108332,0.0,22.52883523527083,0.0,0.0,22.52883523527083,5.144534738114586,0
16,16,9103,9103,0,CANTAGALLO,0.0456255167003,7.52520868463e-05,0.9357292703474256,286.0,118.0,0.0,10.0,0.0,0.0,14.0,305.6439603452946,126.10485077183483,0.0,10.686851760324986,0.0,0.0,14.96159246445498,3.7585209795405006,3
17,17,5616,5616,0,LOS CEREZOS,0.0358124171127,3.84722455539e-05,0.4783640019312338,462.0,285.0,0.0,9.0,0.0,0.0,35.0,965.791736282058,595.7806165376331,0.0,18.81412473276736,0.0,0.0,73.16604062742863,13.340993269187393,0
18,18,104129,104129,1,EL MOCHUELO II,0.11015947758099999,0.000286613502668,3.5627991447712164,5.0,8.0,0.0,5.0,0.0,0.0,0.0,1.4033909285450534,2.2454254856720857,0.0,1.4033909285450534,0.0,0.0,0.0,0.14181407729068254,3
19,19,6534,6534,0,EL TINTAL IV,0.0199257925441,2.28835199852e-05,0.28451214486399085,91.0,98.0,0.0,2.0,0.0,0.0,0.0,319.84574874124246,344.4492678751842,0.0,7.029576895411923,0.0,0.0,0.0,3.823884707276106,3
20,20,9209,9209,0,VILLA MARIA,0.0243508796698,2.0354567675e-05,0.2530996461113641,248.0,135.0,0.0,3.0,0.0,0.0,11.0,979.851231759051,533.3867592236769,0.0,11.853039093859488,0.0,0.0,43.46114334415145,10.548701140495515,0
21,21,6208,6208,0,ORTEZAL,0.041198416091699996,8.33813738487e-05,1.036648135679798,596.0,315.0,39.0,14.0,1.0,0.0,62.0,574.9298913359486,303.8639526356104,37.62125127869462,13.505064561582685,0.9646474686844775,0.0,59.80814305843761,18.496276381589112,0
22,22,4413,4413,0,AUTOPISTA MUZU ORIENTAL,0.025895438823700004,2.97866153869e-05,0.3703075739093347,274.0,148.0,0.0,7.0,0.0,0.0,10.0,739.9254546899588,399.667763847131,0.0,18.903205046823764,0.0,0.0,27.004578638319664,8.457467819992099,0
23,23,4540,4540,0,CATALINA II,0.0209630013002,2.29631640587e-05,0.2854822200497054,117.0,13.0,0.0,12.0,0.0,0.0,11.0,409.8328784875958,45.53698649862175,0.0,42.034141383343155,0.0,0.0,38.53129626806456,7.917035605974605,5
24,24,3110,3110,0,LA CATEDRAL,0.023883532692499997,2.92905649313e-05,0.3641422585285604,2072.0,244.0,21.0,5.0,15.0,0.0,291.0,5690.083892961544,670.0677943448923,57.66976918542105,13.73089742510025,41.19269227530075,0.0,799.1382301408346,100.0,2
25,25,2626,2626,0,BOLONIA I,0.0530602887792,9.21491128178e-05,1.1454707985989183,3.0,5.0,0.0,3.0,0.0,0.0,0.0,2.619010457245569,4.365017428742615,0.0,2.619010457245569,0.0,0.0,0.0,0.2656732088466022,3
26,26,4205,4205,0,PRIMAVERA OCCIDENTAL,0.026379044703900005,3.53863385249e-05,0.4399348687582387,298.0,116.0,0.0,14.0,0.0,0.0,20.0,677.3729957826157,263.675394331488,0.0,31.822892419317515,0.0,0.0,45.46127488473931,9.727122550425708,0
27,27,2585,2585,0,EL MOCHUELO URBANO,0.010107934058700002,3.7494921347e-06,0.046609683038298134,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,107.27384685048409,0.0,0.0,0.0,0.0,42.90953874019363,3.324847930106397,3
28,28,202511,202511,2,PUERTA AL LLANO RURAL,0.0349512100051,4.51597505758e-05,0.5613439605043405,34.0,1.0,0.0,5.0,0.0,0.0,1.0,60.568924567127496,1.7814389578566912,0.0,8.907194789283455,0.0,0.0,1.7814389578566912,1.1321687323277811,3
29,29,102601,102601,1,CENTRO USME RURAL,0.027684570037400002,1.99237616955e-05,0.24764854707579398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0379804840685996,0.0,0.0,0.0,0.0,0.0,0.0,0.015075485804405589,3
30,30,2577,2577,0,DANUBIO II,0.0203678810467,9.25787542365e-06,0.11508479581055175,65.0,4.0,0.0,2.0,0.0,0.0,2.0,564.8009325836624,34.75698046668692,0.0,17.37849023334346,0.0,0.0,17.37849023334346,4.933342375569036,0
31,31,4103,4103,0,VOTO NACIONAL,0.023366771909599997,3.29409352112e-05,0.4095260880533011,1268.0,207.0,0.0,1.0,0.0,0.0,15.0,3096.261842627632,505.46230396208193,0.0,2.441846879043874,0.0,0.0,36.627703185658106,17.029415965901222,1
32,32,2602,2602,0,FISCALA ALTA,0.0813138604236,0.00011795511137399999,1.4662762819712625,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5.45599768499617,0.6819997106245212,0.0,0.0,0.0,0.0,0.0,0.024351939223466432,3
33,33,2599,2599,0,CENTRO USME URBANO,0.054197726281199995,6.81939842864e-05,0.8476445198330648,139.0,125.0,0.0,17.0,0.0,0.0,23.0,163.98383608658813,147.4674784951332,0.0,20.055577075338118,0.0,0.0,27.134016043104513,4.944082610655907,0
34,34,8306,8306,0,PORCIUNCULA,0.0269512019682,3.94544569782e-05,0.4905419100547063,1791.0,488.0,5.0,18.0,11.0,0.0,45.0,3651.0641869524743,994.8181592589656,10.192809008800877,36.69411243168316,22.424179819361928,0.0,91.7352810792079,35.85813611519248,1
