level0;id;SCaCodigo;SCaTipo;SCaNombre;SHAPE_Leng;SHAPE_Area;areakm;count_hurtos;count_accidentes;count_alojamiento;count_sitp;count_restaurantes;count_parques;count_sitios;hurtos;accidentes;alojamiento;sitp;restaurantes;parques;sitios;c1_index;cluster;
30;002577;2577;0;DANUBIO II;0.02036788105;9.26E-06;0.1150847958;65;4;0;2;0;0;2;5.648.009.326;3.475.698.047;0;1.737.849.023;0;0;1.737.849.023;4.933.342.376;0;002577
31;004103;4103;0;VOTO NACIONAL;0.02336677191;3.29E-05;0.4095260881;1268;207;0;1;0;0;15;3.096.261.843;505.462.304;0;2.441.846.879;0;0;3.662.770.319;1.702.941.597;1;004103
32;002602;2602;0;FISCALA ALTA;0.08131386042;0.0001179551114;1.466.276.282;8;1;0;0;0;0;0;5.455.997.685;0.6819997106;0;0;0;0;0;0.02435193922;3;002602
33;002599;2599;0;CENTRO USME URBANO;0.05419772628;6.82E-05;0.8476445198;139;125;0;17;0;0;23;1.639.838.361;1.474.674.785;0;2.005.557.708;0;0;2.713.401.604;4.944.082.611;0;002599
34;008306;8306;0;PORCIUNCULA;0.02695120197;3.95E-05;0.4905419101;1791;488;5;18;11;0;45;3.651.064.187;9.948.181.593;1.019.280.901;3.669.411.243;2.242.417.982;0;9.173.528.108;3.585.813.612;1;008306
35;002619;2619;0;VILLA ANITA;0.02164367476;1.21E-05;0.1499594623;29;14;0;3;0;0;5;193.385.596;9.335.856.358;0;2.000.540.648;0;0;3.334.234.414;5.123.902.216;0;002619
36;004630;4630;0;PARCELA EL PORVENIR;0.05043984179;4.92E-05;0.6114536833;305;106;0;13;0;0;4;4.988.112.891;1.733.573.661;0;2.126.080.904;0;0;6.541.787.398;5.156.363.671;0;004630
37;009215;9215;0;CASABLANCA SUBA;0.03205980968;3.96E-05;0.492625237;61;22;0;1;0;0;11;1.238.263.804;4.465.869.458;0;2.029.940.663;0;0;2.232.934.729;2.305.876.493;3;009215
38;002604;2604;0;LOS OLIVARES;0.03426771888;3.46E-05;0.429769237;18;4;0;0;0;0;2;4.188.294.193;930.732.043;0;0;0;0;4.653.660.215;0.5033687725;3;002604
39;002642;2642;0;EL PORTAL URBANO;0.008431415339;2.65E-06;0.03300178853;1;0;0;0;0;0;0;3.030.138.803;0;0;0;0;0;0;0.1131278734;3;002642
40;002535;2535;0;PALERMO SUR;0.01786436695;1.63E-05;0.2027588609;79;51;0;7;0;0;10;3.896.253.887;2.515.303.142;0;3.452.376.861;0;0;4.931.966.945;9.062.171.568;0;002535
41;002302;2302;0;SANTANDER SUR;0.02144998163;2.34E-05;0.2905615025;261;332;0;6;0;0;11;8.982.607.737;1.142.615.237;0;2.064.967.296;0;0;3.785.773.376;1.422.305.432;0;002302
42;002104;2104;0;RESTREPO OCCIDENTAL;0.02855245529;5.01E-05;0.6224711175;693;385;0;11;0;0;19;1.113.304.667;6.185.025.926;0;1.767.150.265;0;0;3.052.350.457;1.124.222.625;0;002104
43;002107;2107;0;LA FRAGUA;0.02408125864;2.75E-05;0.3419133939;237;286;0;4;0;1;13;6.931.579.874;8.364.691.325;0;1.169.886.899;0;2.924.717.247;3.802.132.421;1.209.604.415;0;002107
44;004107;4107;0;SANTA ISABEL SUR;0.02269939188;2.83E-05;0.3517978924;233;260;0;16;0;0;13;6.623.120.976;7.390.607.097;0;4.548.065.906;0;0;3.695.303.549;1.311.329.043;5;004107
45;002106;2106;0;SENA;0.01556024994;7.90E-06;0.09821614764;157;24;0;5;0;0;4;159.851.515;2.443.590.039;0;509.081.258;0;0;4.072.650.064;1.443.460.422;5;002106
46;002103;2103;0;RESTREPO;0.02752506106;3.77E-05;0.4688707407;1508;358;2;14;0;0;36;3.216.238.228;7.635.366.615;4.265.567.941;2.985.897.559;0;0;7.678.022.294;249.890.759;1;002103
47;001316;1316;0;MORALBA;0.03296966348;2.26E-05;0.2811044609;37;50;0;6;0;1;3;1.316.236.672;1.778.698.205;0;2.134.437.846;0;355.739.641;1.067.218.923;5.542.861.244;0;001316
48;002414;2414;0;ISMAEL PERDOMO;0.01512950471;9.97E-06;0.1239743053;21;13;0;4;0;0;4;1.693.899.389;1.048.604.383;0;3.226.475.026;0;0;3.226.475.026;6.112.225.039;0;002414
49;109112;109112;1;CAPITOLIO;0.1568103263;0.001152285418;1.431.464.675;0;0;0;0;0;0;1;0;0;0;0;0;0;0.06985851747;0.00439318001;3;109112
50;008220;8220;0;SIBERIA CENTRAL;0.03315971143;1.84E-05;0.2289283604;80;59;0;7;0;0;18;3.494.543.003;2.577.225.465;0;3.057.725.128;0;0;7.862.721.757;1.044.421.893;0;008220
51;004521;4521;0;LA ESTACION BOSA;0.02145714609;2.22E-05;0.2761433491;266;91;0;7;0;0;11;9.632.678.131;3.295.389.887;0;2.534.915.298;0;0;3.983.438.325;1.025.570.271;0;004521
52;008415;8415;0;SANTA BARBARA CENTRAL;0.0364389541;8.74E-05;1.086.692.894;1251;316;2;18;15;0;35;1.151.199.208;2.907.905.275;1.840.446.376;1.656.401.739;1.380.334.782;0;3.220.781.159;129.368.592;0;008415
53;002594;2594;0;VILLA ISRAEL;0.01913506978;1.59E-05;0.197962154;43;25;0;5;0;0;3;2.172.132.356;1.262.867.649;0;2.525.735.298;0;0;1.515.441.179;47.233.956;0;002594
54;005660;5660;0;SAN ANTONIO URBANO;0.01318697476;9.02E-06;0.1121839232;65;60;0;2;0;0;6;5.794.056.597;5.348.359.935;0;1.782.786.645;0;0;5.348.359.935;1.021.804.544;0;005660
55;005505;5505;0;BOSQUE POPULAR;0.02677087824;3.68E-05;0.4575225497;417;224;1;14;0;0;10;9.114.304.864;4.895.933.548;218.568.462;3.059.958.468;0;0;218.568.462;1.087.521.634;0;005505
56;004545;4545;0;CATALINA;0.03745878404;2.91E-05;0.361607002;204;115;0;10;0;0;16;5.641.483.679;3.180.248.152;0;2.765.433.176;0;0;4.424.693.081;917.867.524;0;004545
57;002598;2598;0;EL MOCHUELO II URBANO;0.08012162029;0.0001822940816;2.266.058.146;33;1;0;3;0;0;2;1.456.273.311;0.4412949429;0;1.323.884.829;0;0;0.8825898857;0.2289173531;3;002598
58;102502;102502;1;EL UVAL RURAL;0.1610209203;0.0007078280335;8.798.206.367;30;8;0;4;0;0;1;3.409.785.898;0.9092762396;0;0.4546381198;0;0;0.1136595299;0.06518405009;3;102502
59;004524;4524;0;SAN PABLO BOSA;0.03587143155;2.88E-05;0.358333208;318;106;3;14;0;0;19;8.874.421.709;295.814.057;8.372.095.952;3.906.978.111;0;0;5.302.327.436;1.390.772.522;5;004524
